Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,000490817819621501","0,000371869574437197","-2,08667233867688E-06",0,0,0,"0,353262691832641","0,000187767175190865","-4,64071558936802E-07","4,95918398969677E-07","0,000363879185144708","4,83769722388491E-08","0,000256319892269206",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/base_link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/base_link.STL,,_body_structure-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_aa_rl,"-2,36425935841149E-05","0,0701659018915272","-0,00477662287450286",0,0,0,"0,087137147581509","8,92202622298926E-05","1,38826359598707E-07","-1,52719787916347E-08","1,27622751968787E-05","9,55510144435093E-07","9,63118403220112E-05",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_aa_rl.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_aa_rl.STL,,_leg_front_right-1/_hip_aa_module-1,Origin_hip_aa_rl,,hip_aa_rl,fixed,"0,0205",0,"-0,0875","1,5708",0,"1,5708",base_link,0,0,0,0,0,0,0,,,,,,,,
hip_fe_rl,"0,0730532543619012","2,0925998579309E-05","-0,00448489273032768",0,0,0,"0,0937196089350944","1,29292676456814E-05","-1,25432994113804E-07","-2,08981519657507E-07","0,000115761740201224","1,29684410547489E-08","0,00012259117151944",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_fe_rl.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_fe_rl.STL,,_leg_front_right-1/_hip_fe_module-1,Origin_hip_fe_rl,Axis_hip_fe_rl,hip_fe_rl,fixed,0,"-0,00199999999999997","0,17395","1,5707963267949","1,5707963267949",0,hip_aa_rl,0,0,0,0,0,0,0,,,,,,,,
ULM_rl,"-0,0543236196353261","-0,0584633679992555","-0,00617711053230204",0,0,0,"0,0942657314155025","8,9748781704873E-05","-6,97093782473318E-05","-6,86222785044622E-06","7,94306923966919E-05","-7,39047972692259E-06","0,000159781241346862",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/ULM_rl.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/ULM_rl.STL,,_leg_front_right-1/_upper_leg_module-1,Origin_ULM_rl,Axis_ULM_rl,ULM_rl,fixed,"0,10894791954029","0,117176579689983","0,0374499999999999",0,0,0,hip_fe_rl,0,0,0,0,0,0,0,,,,,,,,
hip_aa_rr,"2,36425935860513E-05","-0,0701659018915369","-0,00477662310266573",0,0,0,"0,0871371475814785","8,92117162027611E-05","1,38826359599679E-07","1,52719470035292E-08","1,27537291697277E-05","-9,55509189004827E-07","9,63118403220428E-05",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_aa_rr.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_aa_rr.STL,,_leg_front_left-2/_hip_aa_module-1,Origin_hip_aa_rr,,hip_aa_rr,fixed,"0,0405",0,"0,0875","1,5708",0,"-1,5708",base_link,0,0,0,0,0,0,0,,,,,,,,
hip_fe_rr,"-0,0730532543811463","-2,09270396483236E-05","-0,00448489272798",0,0,0,"0,0937196089585068","1,29292678567285E-05","-1,25433498780793E-07","2,08981538289058E-07","0,000115761740439917","-1,29677514616886E-08","0,00012259117153517",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_fe_rr.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_fe_rr.STL,,_leg_front_left-2/_hip_fe_module-1,Origin_hip_fe_rr,Axis_hip_fe_rr,hip_fe_rr,fixed,0,"0,002","-0,15385","1,5707963267949","1,5707963267949",0,hip_aa_rr,0,0,0,0,0,0,0,,,,,,,,
ULM_rr,"0,0549325176047142","-0,0578912477717372","-0,00617707783036225",0,0,0,"0,0942653132153574","8,82188499589015E-05","6,98061412833799E-05","6,94461407959225E-06","8,09613477502902E-05","-7,31338093377855E-06","0,000159781947270281",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/ULM_rr.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/ULM_rr.STL,,_leg_front_left-2/_upper_leg_module-1,Origin_ULM_rr,Axis_ULM_rr,ULM_rr,fixed,"-0,110095902716957","0,116098631372713","0,0374499999931004",0,0,0,hip_fe_rr,0,0,0,0,0,0,0,,,,,,,,
hip_aa_fr,"-2,3642555421132E-05","0,0701659016874606","-0,00477662286150705",0,0,0,"0,0871371471590241","8,92202618170014E-05","1,38826163541994E-07","-1,527195742992E-08","1,27622762416442E-05","9,55510001008985E-07","9,63118388078604E-05",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_aa_fr.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_aa_fr.STL,,_leg_front_right-2/_hip_aa_module-1,Origin_hip_aa_fr,,hip_aa_fr,fixed,"-0,0205",0,"0,0875","-1,5708",0,"1,5708",base_link,0,0,0,0,0,0,0,,,,,,,,
hip_fe_fr,"0,0730532547811511","2,09265185744439E-05","-0,00448489314629537",0,0,0,"0,0937196047251379","1,29292669803488E-05","-1,25433236626157E-07","-2,08981384211618E-07","0,000115761740018553","1,29680959128551E-08","0,000122591170814036",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_fe_fr.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_fe_fr.STL,,_leg_front_right-2/_hip_fe_module-1,Origin_hip_fe_fr,Axis_hip_fe_fr,hip_fe_fr,fixed,0,"-0,00199999999999996","0,17395","1,5707963267949","1,5707963267949",0,hip_aa_fr,0,0,0,0,0,0,0,,,,,,,,
ULM_fr,"-0,0517896188155238","-0,0607191063589099","-0,00617707377274182",0,0,0,"0,0942653270948081","9,5650203471349E-05","-6,90193943763053E-05","-6,54192636420564E-06","7,35292832676978E-05","-7,67545293855441E-06","0,000159781231346617",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/ULM_fr.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/ULM_fr.STL,,_leg_front_right-2/_upper_leg_module-1,Origin_ULM_fr,Axis_ULM_fr,ULM_fr,fixed,"0,103869376886748","0,121701078654184","0,0374499999983591",0,0,0,hip_fe_fr,0,0,0,0,0,0,0,,,,,,,,
hip_aa_fl,"-2,3642555986515E-05","0,0701659016709267","-0,00477662308984084",0,0,0,"0,0871371471792329","8,92117144335859E-05","1,38826160344307E-07","-1,52719258456013E-08","1,27537287758568E-05","9,55509040162213E-07","9,63118388904957E-05",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_aa_fl.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_aa_fl.STL,,_leg_front_left-1/_hip_aa_module-1,Origin_hip_aa_fl,Axis_hip_aa_fl,hip_aa_fl,fixed,"-0,0405",0,"-0,0875","1,5707963267949",0,"1,5707963267949",base_link,0,0,0,0,0,0,0,,,,,,,,
hip_fe_fl,"-0,0730532539115141","-2,09260542203936E-05","-0,00448489275707772",0,0,0,"0,0937196095378059","1,29292680192885E-05","-1,25432682891548E-07","2,08981767899198E-07","0,000115761742551178","-1,29684792360959E-08","0,000122591173590823",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_fe_fl.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/hip_fe_fl.STL,,_leg_front_left-1/_hip_fe_module-1,Origin_hip_fe_fl,Axis_hip_fe_fl,hip_fe_fl,fixed,0,"-0,00200000000000002","-0,15385","1,5707963267949","1,5707963267949",0,hip_aa_fl,0,0,0,0,0,0,0,,,,,,,,
ULM_fl,"0,0503954265941569","-0,0618817406763597","-0,00617713938874737",0,0,0,"0,0942658466368396","9,87123546272234E-05","6,84591327212611E-05","6,37128551371815E-06","7,04728805757652E-05","-7,81773391650673E-06","0,000159781238669177",0,0,0,0,0,0,package://solo12dof_quadruped/meshes/ULM_fl.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://solo12dof_quadruped/meshes/ULM_fl.STL,,_leg_front_left-1/_upper_leg_module-1,Origin_ULM_fl,Axis_ULM_fl,ULM_fl,fixed,"-0,100996625553248","0,124095453691648","0,0374500000000024",0,0,0,hip_fe_fl,0,0,0,0,0,0,0,,,,,,,,
